,eng,deu,nld,fin,fra,ita,spa,rus,heb,arb,cmn
eng,0.0,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.6
deu,0.4,0.0,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.8,0.6
nld,0.5,0.4,0.0,0.6,0.5,0.4,0.6,0.6,0.6,0.9,0.6
fin,0.5,0.4,0.6,0.0,0.5,0.6,0.5,0.4,0.6,0.8,0.5
fra,0.5,0.4,0.5,0.5,0.0,0.5,0.5,0.5,0.6,0.8,0.6
ita,0.5,0.5,0.4,0.6,0.5,0.0,0.5,0.5,0.6,0.8,0.6
spa,0.5,0.6,0.6,0.5,0.5,0.5,0.0,0.5,0.6,0.8,0.6
rus,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.0,0.6,0.8,0.5
heb,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.7,0.6
arb,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.0,0.8
cmn,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.8,0.0
