,cat,cym,deu,eng,fas,fra,ita,kab,kin
cat,0.0,0.6461,0.4707,0.4581,0.6461,0.4096,0.3459,0.6405,0.4429
cym,0.6461,0.0,0.6153,0.5983,0.0,0.6025,0.6737,0.688,0.6552
deu,0.4707,0.6153,0.0,0.4364,0.6153,0.3886,0.4819,0.6513,0.4747
eng,0.4581,0.5983,0.4364,0.0,0.5983,0.4753,0.5064,0.6656,0.5182
fas,0.6461,0.0,0.6153,0.5983,0.0,0.6025,0.6737,0.688,0.6552
fra,0.4096,0.6025,0.3886,0.4753,0.6025,0.0,0.4379,0.6622,0.4336
ita,0.3459,0.6737,0.4819,0.5064,0.6737,0.4379,0.0,0.6511,0.4592
kab,0.6405,0.688,0.6513,0.6656,0.688,0.6622,0.6511,0.0,0.6109
kin,0.4429,0.6552,0.4747,0.5182,0.6552,0.4336,0.4592,0.6109,0.0
