,ara,cat,ces,cym,deu,eng,epo,spa,eus,fas,fra,fry,ita,kab,nld,pol,por,rus,kin,swe,tam,tur,tat,ukr,zho
ara,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cat,1.0,0.0,0.9091,0.9091,0.8571,0.9,1.0,0.2308,1.0,1.0,0.4375,0.9091,0.3636,1.0,0.9091,0.9091,0.3333,0.8,1.0,0.9091,1.0,1.0,1.0,0.9091,1.0
ces,1.0,0.9091,0.0,0.8571,0.8571,0.9,1.0,0.9231,1.0,1.0,0.9375,0.8571,0.8571,1.0,0.8571,0.4286,0.9333,0.4,1.0,0.8571,1.0,1.0,1.0,0.5714,1.0
cym,1.0,0.9091,0.8571,0.0,0.8571,0.9,1.0,0.9231,1.0,1.0,0.9375,0.8571,0.9,1.0,0.9,0.8333,0.9333,0.8,1.0,0.8571,1.0,1.0,1.0,0.8333,1.0
deu,1.0,0.8571,0.8571,0.8571,0.0,0.4286,1.0,0.8571,1.0,1.0,0.8571,0.4286,0.8571,1.0,0.2857,0.8571,0.8571,0.8571,1.0,0.5714,1.0,1.0,1.0,0.8571,1.0
eng,1.0,0.9,0.9,0.9,0.4286,0.0,1.0,0.9,1.0,1.0,0.9,0.4,0.9,1.0,0.6,0.9,0.9,0.9,1.0,0.7,1.0,1.0,1.0,0.9,1.0
epo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spa,1.0,0.2308,0.9231,0.9231,0.8571,0.9,1.0,0.0,1.0,1.0,0.4375,0.9231,0.4615,1.0,0.9231,0.9231,0.2667,0.8,1.0,0.9231,1.0,1.0,1.0,0.9231,1.0
eus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fra,1.0,0.4375,0.9375,0.9375,0.8571,0.9,1.0,0.4375,1.0,1.0,0.0,0.9375,0.5625,1.0,0.9375,0.9375,0.4375,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0
fry,1.0,0.9091,0.8571,0.8571,0.4286,0.4,1.0,0.9231,1.0,1.0,0.9375,0.0,0.9,1.0,0.6,0.8333,0.9333,0.8,1.0,0.5714,1.0,1.0,1.0,0.8333,1.0
ita,1.0,0.3636,0.8571,0.9,0.8571,0.9,1.0,0.4615,1.0,1.0,0.5625,0.9,0.0,1.0,0.9,0.9,0.5333,0.8,1.0,0.9,1.0,1.0,1.0,0.9,1.0
kab,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nld,1.0,0.9091,0.8571,0.9,0.2857,0.6,1.0,0.9231,1.0,1.0,0.9375,0.6,0.9,1.0,0.0,0.9,0.9333,0.8,1.0,0.7,1.0,1.0,1.0,0.9,1.0
pol,1.0,0.9091,0.4286,0.8333,0.8571,0.9,1.0,0.9231,1.0,1.0,0.9375,0.8333,0.9,1.0,0.9,0.0,0.9333,0.4,1.0,0.8333,1.0,1.0,1.0,0.5,1.0
por,1.0,0.3333,0.9333,0.9333,0.8571,0.9,1.0,0.2667,1.0,1.0,0.4375,0.9333,0.5333,1.0,0.9333,0.9333,0.0,0.9333,1.0,0.9333,1.0,1.0,1.0,0.9333,1.0
rus,1.0,0.8,0.4,0.8,0.8571,0.9,1.0,0.8,1.0,1.0,0.9375,0.8,0.8,1.0,0.8,0.4,0.9333,0.0,1.0,0.8,1.0,1.0,1.0,0.2,1.0
kin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
swe,1.0,0.9091,0.8571,0.8571,0.5714,0.7,1.0,0.9231,1.0,1.0,0.9375,0.5714,0.9,1.0,0.7,0.8333,0.9333,0.8,1.0,0.0,1.0,1.0,1.0,0.8571,1.0
tam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
tur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4286,1.0,1.0
tat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4286,0.0,1.0,1.0
ukr,1.0,0.9091,0.5714,0.8333,0.8571,0.9,1.0,0.9231,1.0,1.0,0.9375,0.8333,0.9,1.0,0.9,0.5,0.9333,0.2,1.0,0.8571,1.0,1.0,1.0,0.0,1.0
zho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
