langpair,hd_lfe
ca-cy,8.3937039754
ca-de,12.4885507908
ca-en,5.7968035744
ca-fa,16.5258120276
ca-fr,23.7218193697
ca-it,3.1070660689
ca-kab,20.4204062249
ca-rw,24.6890236293
cy-de,-17.0995649341
cy-en,-8.8093315819
cy-fa,1.5121615889
cy-fr,12.9480034314
cy-it,3.2128960241
cy-kab,12.4245676906
cy-rw,22.324439283
de-en,0.4490563068
de-fa,4.2743851972
de-fr,13.3580104981
de-it,-1.9131092671
de-kab,16.8826261882
de-rw,43.3195226991
en-fa,-2.5459722699
en-fr,16.9683374068
en-it,15.2668951589
en-kab,7.4782587195
en-rw,30.6808094477
fa-fr,12.6275855887
fa-it,5.712149718
fa-kab,11.9154447982
fa-rw,15.2585288322
fr-it,2.6835788751
fr-kab,16.2144542902
fr-rw,28.710065982
it-kab,12.5545456853
it-rw,27.9735744138
kab-rw,31.0354373421
