langpair,same,different,lfe,synt,phono,inv,av_dist,significant
cmn-deu,8.8037862,9.7181763,10.3863274,0.6,0.328,0.5902,0.7028,yes
cmn-eng,7.435364,8.9621652,20.5343176,0.55,0.39,0.5926,0.7084,yes
cmn-fin,6.3124303,6.6187378,4.8524511,0.52,0.274,0.5823,0.6528667,no
cmn-fra,6.4437991,7.9913288,24.0157966,0.65,0.427,0.5726,0.7407333,yes
cmn-ita,8.0760492,8.737688,8.1926053,0.6,0.569,0.6245,0.806,yes
cmn-nld,4.8546067,6.5253584,34.4157984,0.61,0.569,0.5837,0.7821333,yes
cmn-por,6.0239279,8.3436803,38.508966,0.59,0.569,0.5869,0.7776,
cmn-rus,6.8930298,6.8242222,-0.9982212,0.51,0.405,0.6065,0.7093333,
cmn-spa,6.9396683,8.7709696,26.388888,0.6,0.448,0.5941,0.7454,
deu-eng,9.9334442,10.1408387,2.0878402,0.42,0.328,0.4364,0.5402667,no
deu-fin,8.8105105,8.7735574,-0.4194209,0.54,0.186,0.4201,0.5220667,no
deu-fra,8.9418793,9.1627056,2.4695738,0.46,0.262,0.3886,0.4997333,no
deu-ita,10.5741294,9.9865105,-5.5571379,0.52,0.546,0.4819,0.6766,no
deu-nld,7.352687,7.0819355,-3.6823474,0.35,0.546,0.3086,0.5044,no
deu-por,8.5220082,8.8614199,3.9827665,0.53,0.546,0.4343,0.6482,no
deu-rus,9.3911101,9.660688,2.870565,0.42,0.333,0.5184,0.5966,
deu-spa,9.4377486,9.2177257,-2.3313068,0.5,0.479,0.6393,0.7525333,
eng-fin,7.4420883,7.902313,6.1840803,0.53,0.274,0.4694,0.5809333,no
eng-fra,7.5734571,7.7870389,2.8201359,0.46,0.427,0.4753,0.6125333,no
eng-ita,9.2057072,9.2958136,0.9788099,0.51,0.569,0.5064,0.6972667,no
eng-nld,5.9842648,7.0062409,17.0777219,0.49,0.569,0.4861,0.6770667,no
eng-por,7.1535859,8.9063852,24.5023868,0.47,0.569,0.4235,0.6286667,
eng-rus,8.0226879,8.7772463,9.4053076,0.49,0.28,0.5594,0.6296,
eng-spa,8.0693263,8.3018699,2.8818208,0.4,0.343,0.5481,0.6130667,
fin-fra,6.4505234,6.5024485,0.8049756,0.54,0.328,0.3996,0.5557333,no
fin-ita,8.0827735,7.9646341,-1.4616195,0.57,0.569,0.4906,0.7067333,no
fin-nld,4.861331,5.4748736,12.6208753,0.61,0.569,0.4561,0.6970667,no
fin-por,6.0306522,5.8790993,-2.5130444,0.52,0.569,0.454,0.6656667,
fin-rus,6.8997541,4.8736886,-29.364315,0.38,0.28,0.5099,0.5599333,
fin-spa,6.9463926,6.93351,-0.1854571,0.47,0.448,0.5617,0.6804667,
fra-ita,8.2141423,7.6690671,-6.6358141,0.55,0.546,0.4379,0.6572667,no
fra-nld,4.9926999,5.9618555,19.4114539,0.51,0.546,0.3411,0.5794,yes
fra-por,6.1620211,6.9740416,13.1778287,0.46,0.546,0.3947,0.5984667,
fra-rus,7.031123,6.0770195,-13.5697171,0.51,0.333,0.5152,0.6244667,
fra-spa,7.0777614,6.7248069,-4.9868107,0.41,0.479,0.5804,0.6832667,
ita-nld,6.62495,7.6181119,14.9912363,0.43,0,0.4305,0.4303333,yes
ita-por,7.7942712,7.819025,0.3175905,0.3,0,0.351,0.334,
ita-rus,8.6633731,8.2455454,-4.8229216,0.56,0.616,0.4693,0.7048667,
ita-spa,8.7100115,8.553551,-1.7963304,0.47,0.592,0.5037,0.6898,
nld-por,4.5728287,5.7246315,25.1879716,0.49,0,0.3863,0.4208667,
nld-rus,5.4419306,4.9092576,-9.7883095,0.57,0.616,0.5297,0.7484667,
nld-spa,5.4885691,6.0613941,10.4366904,0.58,0.592,0.557,0.762,
por-rus,6.6112518,6.0087101,-9.1138826,0.5,0.616,0.47,0.6853333,
por-spa,6.6578903,7.4457233,11.8330734,0.4,0.592,0.4797,0.6504667,
rus-spa,7.5269922,6.8509472,-8.9816087,0.45,0.361,0.5273,0.6218667,
