langpair,test,same,different,lfe effect
cmn-deu,cmn,11.3,8.1,-28.31
cmn-deu,deu,6.31,11.33,79.74
cmn-eng,cmn,8.57,8.74,2.06
cmn-eng,eng,6.31,9.18,45.63
cmn-fin,cmn,6.32,8.33,31.84
cmn-fin,fin,6.31,4.91,-22.19
cmn-fra,cmn,6.58,8.38,27.34
cmn-fra,fra,6.31,7.6,20.54
cmn-ita,cmn,9.85,7.92,-19.61
cmn-ita,ita,6.31,9.56,51.6
cmn-nld,cmn,3.4,9.22,170.82
cmn-nld,nld,6.306,3.833,-39.20994895
cmn-por,cmn,5.742,9.918,72.73037008
cmn-por,por,6.306,6.769,7.346010952
cmn-rus,cmn,7.48,8.503,13.67233611
cmn-rus,rus,6.306,5.145,-18.40165859
cmn-spa,cmn,7.574,10.493,38.54757463
cmn-spa,spa,6.306,7.049,11.78538399
deu-eng,deu,8.565,10.34,20.71844116
deu-eng,eng,11.302,9.942,-12.03120008
deu-fin,deu,6.319,12.035,90.45697769
deu-fin,fin,11.302,5.512,-51.23067501
deu-fra,deu,6.582,11.982,82.04130737
deu-fra,fra,11.302,6.344,-43.87078756
deu-ita,deu,9.846,9.998,1.537673143
deu-ita,ita,11.302,9.975,-11.73826683
deu-nld,deu,3.404,10.21,199.9733221
deu-nld,nld,11.302,3.954,-65.0123597
deu-por,deu,5.742,10.933,90.40433583
deu-por,por,11.302,6.79,-39.92552131
deu-rus,deu,7.48,14.258,90.60792446
deu-rus,rus,11.302,5.063,-55.2000632
deu-spa,deu,7.574,11.887,56.95033635
deu-spa,spa,11.302,6.549,-42.0572469
eng-fin,eng,6.319,11.255,78.11515393
eng-fin,fin,8.565,4.549,-46.88566915
eng-fra,eng,6.582,9.612,46.04397059
eng-fra,fra,8.565,5.962,-30.39572997
eng-ita,eng,9.846,9.524,-3.277739744
eng-ita,ita,8.565,9.068,5.872160703
eng-nld,eng,3.404,10.375,204.8180561
eng-nld,nld,8.565,3.638,-57.5251973
eng-por,eng,5.742,11.371,98.03525272
eng-por,por,8.565,6.441,-24.79541281
eng-rus,eng,7.48,12.549,67.75890868
eng-rus,rus,8.565,5.006,-41.55843523
eng-spa,eng,7.574,10.268,35.56922645
eng-spa,spa,8.565,6.336,-26.02205556
fin-fra,fin,6.582,5.34,-18.86134015
fin-fra,fra,6.319,7.664,21.28897689
fin-ita,fin,9.846,5.278,-46.39403555
fin-ita,ita,6.319,10.651,68.55125906
fin-nld,fin,3.404,5.128,50.65501814
fin-nld,nld,6.319,5.822,-7.864379626
fin-por,fin,5.742,4.633,-19.31687476
fin-por,por,6.319,7.125,12.75642115
fin-rus,fin,7.48,5.257,-29.71916906
fin-rus,rus,6.319,4.49,-28.9442534
fin-spa,fin,7.574,5.496,-27.43478722
fin-spa,spa,6.319,8.371,32.4733995
fra-ita,fra,9.846,5.33,-45.86415453
fra-ita,ita,6.582,10.008,52.04907789
fra-nld,fra,3.404,7.652,124.8179383
fra-nld,nld,6.582,4.272,-35.09441653
fra-por,fra,5.742,7.473,30.14895827
fra-por,por,6.582,6.475,-1.628061022
fra-rus,fra,7.48,7.153,-4.377083789
fra-rus,rus,6.582,5.001,-24.01719135
fra-spa,fra,7.574,7.552,-0.2888859786
fra-spa,spa,6.582,5.898,-10.39260356
ita-nld,ita,3.404,10.455,207.1867468
ita-nld,nld,9.846,4.781,-51.443133
ita-por,ita,5.742,9.994,74.04248155
ita-por,por,9.846,5.644,-42.67677315
ita-rus,ita,7.48,11.38,52.13605742
ita-rus,rus,9.846,5.111,-48.09494386
ita-spa,ita,7.574,10.73,41.67883871
ita-spa,spa,9.846,6.377,-35.23648387
nld-por,nld,5.742,4.384,-23.64719795
nld-por,por,3.404,7.065,107.5791108
nld-rus,nld,7.48,4.915,-34.29120976
nld-rus,rus,3.404,4.903,44.0650636
nld-spa,nld,7.574,5.343,-29.45054703
nld-spa,spa,3.404,6.78,99.19547834
por-rus,por,7.48,6.082,-18.69028049
por-rus,rus,5.742,5.935,3.3613828
por-spa,por,7.574,7.51,-0.8422845967
por-spa,spa,5.742,7.382,28.55128552
rus-spa,rus,7.574,4.954,-34.589135
rus-spa,spa,7.48,8.748,16.94523289
