LV_low-dim,LV_high-dim,CV_low-dim,CV_high-dim
1.402654438,-5.983529233,22.52347975,3.834671132
1.159341238,19.56284726,15.32964011,-3.325861726
5.877567543,31.02594041,11.84456472,3.526837813
13.31464801,17.60091428,14.16277924,-1.689823625
12.42736967,36.28805872,28.03013423,8.033911849
16.79591654,17.23790408,26.65638229,7.529408264
2.271649917,17.83526818,19.17062026,-0.134792128
1.057606835,35.3812351,16.22143551,7.221679116
4.393418,13.32756276,18.59313249,1.624272086
4.451650304,7.729849363,32.79224946,12.04618801
3.013697827,24.7484443,16.49618777,15.58782211
6.129725108,7.045628228,9.654546676,6.712039736
,,6.363298452,16.03184083
,,8.566626484,9.041580089
,,21.747146,21.63410719
,,21.1501091,13.25792504
,,14.06906815,4.55942858
,,10.19643888,14.61420996
,,12.50480383,7.178944375
,,26.30551299,20.12193457
,,18.91881951,15.44148959
,,11.99942625,6.954096314
,,7.783845406,13.48666502
,,10.06536448,8.312460551
,,23.69812332,18.79894627
,,15.99016261,9.972603392
,,9.176054331,1.991699214
,,5.92808851,9.561002382
,,8.120749628,3.790151625
,,21.23798383,14.58315415
